name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,use0,use1,use2,use3,use4,Chemical Class,Therapeutic Class,Habit Forming
amlip 5 tablet,Amset 5mg Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Camlodip 5mg Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,CARDIAC,No
alerid syrup,Cetrilix 5mg Syrup,Cetmac 5mg/5ml Syrup,Ralcet 5mg/5ml Syrup,Mast 1 Syrup,Ezin Syrup,Nausea,Headache,Muscle pain,Edema (swelling),Sleepiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Phenylmethyl Piperazinyl Derivative,RESPIRATORY,No
aldactone 50 tablet,Spilactone 50mg Tablet,Spirix 50 Tablet,Spirolact 50mg Tablet,Edeflow 50 Tablet,Aldotone 50mg Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,CARDIAC,No
azee 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
alerid tablet,Cetral O 10mg Tablet,Dio 1 10mg Tablet,Leecet Tablet,CTZ Tablet,Cetcip Tablet,Sleepiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Phenylmethyl Piperazinyl Derivative,RESPIRATORY,No
augmentin 375 tablet,Moxiforce-CV 375 Tablet,Moxikind-CV 375 Tablet,Flemiclav 375 Tablet,Erox CV 250mg/125mg Tablet,Mega-CV 375 Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,ANTI INFECTIVES,No
acenac-p  tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
acivir cream,Setuvir Cream,Herpesafe Cream,Zoster Cream,Zovistar Cream,Aciherpin Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Herpes labialis,,,,,Nucleoside analog,DERMA,No
ab-flo capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Bronet 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,RESPIRATORY,No
ab phylline n tablet,Oxydex Tablet,Pulmotol Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
amifru 40 tablet,Frumide 40 mg/5 mg Tablet,Frumil Tablet,LASIRIDE 40MG/5MG TABLET,FRUMIDE 40MG/5MG TABLET,Exna K 40 mg/5 mg Tablet,Nausea,Vomiting,Diarrhea,Weakness,Headache,Dehydration,Muscle cramp,Decreased sodium level in blood,Decreased magnesium level in blood,Decreased calcium level in blood,Increased blood uric acid,,,,,,,,,,,,,,,,,,,,,,,Treatment of Edema,,,,,,CARDIAC,No
avamys nasal spray,,,,,,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,RESPIRATORY,No
alkasol oral solution sugar free,Uridol Oral Solution,,,,,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,UROLOGY,No
aciloc 300 tablet,Gertac 300mg Tablet,Rancer 300mg Tablet,Zantid 300mg Tablet,Zynol 300mg Tablet,Rdin 300mg Tablet,Headache,Diarrhea,Gastrointestinal disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,Aralkylamines Derivative,GASTRO INTESTINAL,No
aziderm 20% cream,Azecne Cream,Azac 20% Cream,Exazel 20% Cream,Dermac 20% Cream,Azecare 20 Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,Medium-Chain Fatty Acids,DERMA,No
ace proxyvon tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
avil injection,Nicophen 22.75mg Injection,Instavil 22.75mg Injection,Eurovil 22.75mg Injection,Kayphen 22.75mg Injection,,Sleepiness,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Pyridines Derivatives,RESPIRATORY,No
ano metrogyl cream,Sucross Ano Cream,Elfate-LM Rectal Cream,Anosum Cream,Pileclear S Cream,Surect Cream,Burning sensation,Tingling,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anal fissure,,,,,,CARDIAC,No
admenta 5 tablet,DavaIndia Memantine 5mg Tablet,Almantin 5mg Tablet,Mentra 5mg Tablet,Mentadem 5mg Tablet,Memantal 5mg Tablet,Dizziness,Headache,Confusion,Sleepiness,Diarrhea,Abnormal liver function tests,Balance disorder (loss of balance),Breathlessness,Pulmonary hypertension (high blood pressure),Hypersensitivity,,,,,,,,,,,,,,,,,,,,,,,, Alzheimer's disease,,,,,Amantadine Derivative,NEURO CNS,No
aceclo-mr tablet,Vetory MX Tablet,Dolostat MR 100 mg/325 mg/500 mg Tablet,Arflur-MR Tablet,Nacease MR 100mg/325mg/500mg Tablet,Clorace-MR Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,PAIN ANALGESICS,No
alerid-d tablet,Cezor Plus 5mg/10mg Tablet,Zyncet-D Tablet,,,,Dryness in mouth,Headache,Vomiting,Sleepiness,Fatigue,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,RESPIRATORY,No
acemiz-s tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Buta Proxyvon SP Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
allercet-dc tablet,Rycez D 10mg/10mg Tablet,Lemoson 10 mg/10 mg Tablet,Rhinocet D Tablet,Lwin DC 10mg/10mg Tablet,Hicet-DC Tablet,Dryness in mouth,Headache,Vomiting,Sleepiness,Fatigue,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,RESPIRATORY,No
aztolet  10 tablet,Lipiloss CV 10mg/75mg Tablet,Dualclop 10mg/75mg Tablet,Gamator C 10mg/75mg Tablet,Atetor C 10mg/75mg Tablet,Nasclo AT 10mg/75mg Tablet,Stomach pain,Diarrhea,Indigestion,Constipation,Headache,Dizziness,Muscle pain,Weakness,Increased glucose level in blood,Increased liver enzymes,,,,,,,,,,,,,,,,,,,,,,,, Heart attack prevention and high cholesterol,,,,,,CARDIAC,No
augmentin 1.2gm injection,Amoluck Injection,Aoxy-CV 1.2gm Injection,Blumox-CA 1.2gm Injection,Moxfit CV 1000mg/200mg Powder for Injection,Relin 1000mg/200mg Injection,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,ANTI INFECTIVES,No
ambrodil-plus rf syrup,,,,,,Nausea,Stomach discomfort,Sleepiness,Insomnia (difficulty in sleeping),Headache,Dizziness,Nervousness,Restlessness,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,, Common cold,,,,,,RESPIRATORY,No
amlopres-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
ajaduo 25mg/5mg tablet,Glyxambi 25mg/5mg Tablet,Tiptengio 25mg/5mg Tablet,Xilingio 25mg/5mg Tablet,,,Hypoglycemia (low blood glucose level),Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,Nausea,Vomiting,Constipation,Genital fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
acton-or tablet sr,Xtpara Tablet SR,Parvon 1000 SR Tablet,Instaflex P Tablet SR,Para 1000-SR Tablet,PA 12 Tablet SR,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief, Fever,,,,,PAIN ANALGESICS,No
aquazide 12.5 tablet,DavaIndia Hydrochlorothiazide 12.5mg Tablet,Xenia 12.5mg Tablet,Thiazide 12.5mg Tablet,Bpzide 12.5mg Tablet,Dizide 12.5mg Tablet,Headache,Nausea,Altered blood lipid level,Weakness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Benzothiadiazines (Thiazides),CARDIAC,No
alaspan am tablet,Loridin AM Tablet,Alastin AM Tablet,CLARIDIN AM TABLET,Lorpd AM 60mg/5mg Tablet,Lorich-AM Tablet,Upset stomach,Headache,Sleepiness,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,RESPIRATORY,No
althrocin 250 tablet,Agrocin 250mg Tablet,Eryster 250mg Tablet,Erythrokem 250mg Tablet,Erythrotone 250mg Tablet,E Mycin 250mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
azikem 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
aldosmin 500mg tablet,Venostor 500 Tablet,Daflon 500 MG Tablet,Veinmax Tablet,,,Diarrhea,Dizziness,Hives,Itching,Nausea,Erythema (skin redness),Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,, Varicose veins,,,,,,CARDIAC,No
amlovas 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,CARDIAC,No
acitrom 1 tablet,Nistrom 1mg Tablet,Nicoz 1mg Tablet,Acimalone 1 Tablet,Acethromb 1mg Tablet,Cenorol 1mg Tablet,Hemorrhage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Blood clots,,,,,4-hydroxycoumarin Derivative,CARDIAC,No
af 150 tablet dt,Flika 150mg Tablet DT,Flutican 150mg Tablet DT,Fluco 150mg Tablet DT,Cone 150mg Tablet DT,,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
ascoril sf expectorant,Eascof  Expectorant,Ventoranz Cough Expectorant,Eledyl SF Expectorant,Asthakind Expectorant Sugar Free,Asthakind Expectorant Sugar Free,Nausea,Diarrhea,Bloating,Indigestion,Vomiting,Stomach pain,Sweating,Dizziness,Headache,Skin rash,Hives,Tremors,Increased heart rate,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,RESPIRATORY,No
azithral xl 200 liquid,Zythro 200mg Oral Suspension,Azimox 200mg Oral Suspension,Azimcin 200mg Oral Suspension,Uber 200 Oral Suspension,Aziitech 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
af 400 tablet,Q Can 400mg Tablet,Force 400 Tablet,Fole 400mg Tablet,Fazol 400mg Tablet,Flucus 400mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
amantrel tablet,Comantrel-T Tablet,Manotrel 100mg Tablet,Amantex Tablet,Parkitidin Tablet,,Nausea,Dryness in mouth,Constipation,Dizziness,Blurred vision,Insomnia (difficulty in sleeping),Hallucination,Peripheral edema,Balance disorder (loss of balance),Orthostatic hypotension (sudden lowering of blood pressure on standing),,,,,,,,,,,,,,,,,,,,,,,, Parkinson's disease,,,,,Synthetic Tricyclic Amine Derivative,ANTI INFECTIVES,No
atorva 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,CARDIAC,No
acenac-mr tablet,Thioford AP Tablet,Bakwel-AP Tablet,Fense TH Tablet,Anaflam TH  4  Tablet,Thio-Seradic Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,PAIN ANALGESICS,No
ambrolite-s expectorant,Kouf-X Expectorant Mixed Fruit Sugar Free,,,,,Nausea,Diarrhea,Vomiting,Dizziness,Headache,Rash,Tremors,Increased heart rate,Upper abdominal pain,Urticaria,Itching,Sweating,Changes in serum aminotransferase levels,Bloating,Indigestion,,,,,,,,,,,,,,,,,,, Cough,,,,,,RESPIRATORY,No
asthalin 4 tablet,Salmaplon 4mg Tablet,Salbetol 4mg Tablet,Sal 4mg Tablet,Salcen 4mg Tablet,Avihist 4mg Tablet,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,RESPIRATORY,No
ab-flo sr tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,RESPIRATORY,No
air-m tablet,Emlukast-FX Tablet,LCFEX-Mont Tablet,Fixar 10mg/120mg Tablet,Histakind-M Tablet,Histafree-M Tablet,Nausea,Diarrhea,Vomiting,Skin rash,Flu-like symptoms,Headache,Drowsiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,RESPIRATORY,No
atorlip-f tablet,Atortrue F 10mg/145mg Tablet,Bettor Plus Tablet,Medistatin F 10mg/145mg Tablet,Fenovast 10mg/145mg Tablet,Atoor F 10mg/145mg Tablet,Nausea,Stomach pain,Constipation,Flatulence,Headache,Muscle pain,Increased liver enzymes,Increased glucose level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of High cholesterol,Prevention of Heart attack,,,,,CARDIAC,No
advent forte 457mg syrup tangy orange,Cynoclav DS Syrup,Amoxyclav DS Syrup,Satclav DS Syrup,Amoclave  DS  Syrup,Semox CV Forte Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,ANTI INFECTIVES,No
amlodac 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,CARDIAC,No
aztor 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Atorsave 40 Tablet,Atorfit 40 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,CARDIAC,No
ascoril plus expectorant,Megaril Expectorant,Pulmo Rest S Expectorant,Respidac TBG Expectorant,Pedicute-A Expectorant,Sudin-EX Expectorant,Nausea,Indigestion,Bloating,Vomiting,Diarrhea,Stomach pain,Dizziness,Headache,Sweating,Skin rash,Hives,Tremors,Increased heart rate,Palpitations,,,,,,,,,,,,,,,,,,,,Treatment of Cough,,,,,,RESPIRATORY,No
amlip at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Check AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
asthakind-p drops,Afrodyl Oral Drops,Meddryl Oral Drops,Vizcof-AX Oral Drops,Amrox GT Oral Drops,Posthma-X Oral Drops,Excessive salivation,Fatigue,Paresthesia (tingling or pricking sensation),Stomach discomfort,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,Dizziness,Headache,Rash,Tremors,Increased heart rate,Indigestion,Bloating,Upper abdominal pain,Urticaria,Itching,Sweating,Changes in serum aminotransferase levels,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,RESPIRATORY,No
allegra nasal spray,Isomet-F Nasal Spray,Sinospray-FT Nasal Spray,Spiroflut Nasal Spray,Spiroflut Nasal Spray,Ryno Nasal Spray,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,RESPIRATORY,No
aldosmin 1000mg tablet,Samflav 900mg/100mg Tablet,Daflon 1000mg Tablet,Daflon 1000mg Tablet,Dezoflav Tablet,,Diarrhea,Dizziness,Hives,Itching,Nausea,Erythema (skin redness),Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,, Varicose veins,,,,,,CARDIAC,No
andre i-kul eye drop,Eyce Eye Drop,Kono-CP Eye Drop,Recool Eye Drop,Cooleye Eye Drop,Relax Plus Eye Drop,Eye pain,Eye irritation,Stinging in the eyes,Blurred vision,Photophobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic eye disease,,,,,,OPHTHAL,No
antiflu 75mg capsule,Oselet 75mg Capsule,Mcosvir 75mg Capsule,Starflu 75mg Capsule,Osiflu 75 Capsule,Oselow 75 Capsule,Nausea,Vomiting,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Influenza (flu),,,,,Gamma amino acids derivatives {Acetamido cyclohexene},ANTI INFECTIVES,No
alerfix total tablet sr,Trikast Tablet SR,Levotac-Max Tablet SR,Monexia AL 75mg/5mg/10mg Tablet SR,Monticope-A Tablet SR,Albicet AM Plus 75mg/5mg/10mg Tablet SR,Nausea,Upset stomach,Dryness in mouth,Headache,Fatigue,Allergic reaction,Sleepiness,Flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Respiratory tract disorders associated with viscid mucus,,,,,,RESPIRATORY,No
alex-l cough syrup mango,Zerotuss Oral Suspension,Kofdip Oral Suspension Mango,Coff-Tuss Oral Suspension Mango,Zerotuss Oral Suspension Sugar Free,Lecofil LC Oral Suspension Delicious Mango,Nausea,Drowsiness,Dizziness,Dryness in mouth,Fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,Diphenylmethane Derivative,RESPIRATORY,No
aquaviron injection 1ml,,,,,,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,SEX STIMULANTS REJUVENATORS,No
alkof dx syrup,Terlin DM Syrup,Leerex-DX Syrup,Cofrex-DX Syrup,EL Tuss Syrup,Riacof Kid Syrup,Upset stomach,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,RESPIRATORY,No
atm 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
assurans tablet,Sildaflow 20mg Tablet,Pulmoday 20mg Tablet,PAH 20 Tablet,Esylnafil 20mg Tablet,Penegra Pah Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,SEX STIMULANTS REJUVENATORS,No
actrapid hm 100iu/ml penfill,Wosulin-R DispoPen,Lupisulin R 100IU/ml Cartridge,Insuman Rapid 100IU/ml Solution for Injection,Actrapid 100IU/ml Solution for Injection,Huminsulin R 100IU Cartridge,Hypoglycemia (low blood glucose level),Weight gain,Edema (swelling),"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diabetes,,,,,Insulin analogue,ANTI DIABETIC,No
aten 50 tablet,Ziblok 50 Tablet,Ozoten 50mg Tablet,Hipres 50 Tablet,Obeta 50mg Tablet,Anol 50mg Tablet,Cold extremities,Fatigue,Slow heart rate,Nausea,Diarrhea,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,Synthetic isopropylamino propanol derivative,CARDIAC,No
azmarda 100mg tablet,Sacutan 100 Tablet,Sacurise 100 Tablet,Arney 100 Tablet,Arnicor 100 Tablet,Sacumada 100 Tablet,Dizziness,Increased potassium level in blood,Fatigue,Hypotension (low blood pressure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heart failure,,,,,,CARDIAC,No
asthalin ax syrup,Solvin LS Syrup,Ambrodil-LX Syrup,Zerotuss XP Syrup,Capex LS Syrup,Broxum LS Syrup,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,RESPIRATORY,No
amlovas-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amdepin-AT Tablet,Check AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
advent 228.5mg dry syrup,Sarimox-CV Dry Syrup,August Dry Syrup,Oximox XL Dry Syrup,Augwin Dry Syrup,Lymonk CV Dry Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,ANTI INFECTIVES,No
acivir 800 dt tablet,DavaIndia Acyclovir 800mg Tablet DT,Ospivir Tablet DT,HERPESAFE 800MG TABLET DT,Clovirax 800mg Tablet DT,Avir 800mg Tablet DT,Headache,Dizziness,Vomiting,Nausea,Fatigue,Fever,Stomach pain,Diarrhea,Skin rash,Photophobia,,,,,,,,,,,,,,,,,,,,,,,, Herpes Simplex Virus Infections, Chickenpox, Herpes labialis, Shingles, Genital herpes infection,Nucleoside analog,ANTI INFECTIVES,No
alfusin tablet pr,DavaIndia Alfuzosin 10mg Tablet PR,Alfucal 10mg Tablet PR,Alfugress Tablet PR,Emzosin Tablet PR,Zyalfa Tablet PR,Upper respiratory tract infection,Dizziness,Headache,Nausea,Abdominal pain,Impotence,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Benign prostatic hyperplasia,,,,,Quinazoline Derivative,UROLOGY,No
aziwok 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
