medicamento_en,medicamento_principal,sustituto1_en,sustituto2_en,sustituto3_en,sustituto4_en,sustituto5_en,sustituto1_es,sustituto2_es,sustituto3_es,sustituto4_es,sustituto5_es
amlovas 5 tablet,amlovas 5 tableta,amset 5mg tablet,amlip 5 tablet,avacard 5mg tablet,amcard 5 tablet,amlong tablet,tableta de 5 mg de amset,amlip 5 tableta,avacard 5mg tableta,tableta amcard 5,tableta amlong
acitrom 1 tablet,acitrom 1 tableta,nistrom 1mg tablet,nicoz 1mg tablet,acimalone 1 tablet,acethromb 1mg tablet,cenorol 1mg tablet,nistrom 1mg tableta,tableta nicoz 1mg,acimalone 1 tableta,acetromb tableta,tableta cenorol 1mg
af 150 tablet dt,af 150 tableta dt,flika 150mg tablet dt,flutican 150mg tablet dt,fluco 150mg tablet dt,cone 150mg tablet dt,,flika 150mg tableta dt,flutican 150 mg de tableta dt,fluco 150 mg de tableta dt,cono 150 mg de tableta dt,
ascoril sf expectorant,ascoril sf expectorant,eascof  expectorant,ventoranz cough expectorant,eledyl sf expectorant,asthakind expectorant sugar free,asthakind expectorant sugar free,expectorant eascof,expectorant para tos ventoranz,eledyl sf expectorant,asthakind expectorante azucar libre,asthakind expectorante azucar libre
azithral xl 200 liquid,azitral xl 200 liquido,zythro 200mg oral suspension,azimox 200mg oral suspension,azimcin 200mg oral suspension,uber 200 oral suspension,aziitech 200mg oral suspension,suspension oral zythro 200mg,suspension oral de azimox 200mg,azimcin 200 mg de suspension oral,uber 200 suspension oral,aziitech 200 mg de suspension oral
af 400 tablet,af 400 tableta,q can 400mg tablet,force 400 tablet,fole 400mg tablet,fazol 400mg tablet,flucus 400mg tablet,q can 400mg tableta,force 400 tableta,tableta fole 400mg,tableta fazol 400mg,tableta flucus 400mg
amantrel tablet,tableta amantrel,comantrel-t tablet,manotrel 100mg tablet,amantex tablet,parkitidin tablet,,tableta comantrel-t,tableta manotrel 100mg,tableta amantex,tableta de parkitidin,
atorva 20 tablet,atorva 20 tableta,atchol 20 tablet,lipikind 20 tablet,atorace 20 tablet,zivast 20 tablet,lipvas 20 tablet,tableta atchol 20,tableta lipikind 20,atorace 20 tableta,zivast 20 tableta,lipvas 20 tableta
acenac-mr tablet,tableta acenac-mr,thioford ap tablet,bakwel-ap tablet,fense th tablet,anaflam th  4  tablet,thio-seradic tablet,thioford ap tablet,tableta bakwel-ap,fene th tableta,anaflam th 4 tableta,tableta tio-seradic
ambrolite-s expectorant,expectorante de ambrolite-s,kouf-x expectorant mixed fruit sugar free,,,,,kouf-x expectorante de fruta mixta de azucar libre,,,,
asthalin 4 tablet,astalin 4 tableta,salmaplon 4mg tablet,salbetol 4mg tablet,sal 4mg tablet,salcen 4mg tablet,avihist 4mg tablet,salmaplon 4mg tableta,salbetol 4mg tableta,tableta de sal 4mg,tableta salcen 4mg,tableta avihist 4mg
ab-flo sr tablet,tableta ab-flo sr,venphylin-sr tablet,uliphyalline 200 sr tablet,asmasafe 200mg tablet sr,acethama 200 sr tablet,abiways 200 sr tablet,tableta venphylin-sr,uliphyalina 200 sr tableta,asmasafe 200mg tableta sr,acethama 200 sr tablet,abiways 200 sr tableta
air-m tablet,tableta air-m,emlukast-fx tablet,lcfex-mont tablet,fixar 10mg/120mg tablet,histakind-m tablet,histafree-m tablet,tableta emlukast-fx,tableta lcfex-mont,tableta fixar 10mg/120mg,tableta histakind-m,tableta histafree-m
atorlip-f tablet,tableta atorlip-f,atortrue f 10mg/145mg tablet,bettor plus tablet,medistatin f 10mg/145mg tablet,fenovast 10mg/145mg tablet,atoor f 10mg/145mg tablet,atortrue f 10mg/145mg tableta,bettor mas tableta,medistatina f 10mg/145mg tableta,fenovast 10mg/145mg tableta,atoor f 10mg/145mg tableta
advent forte 457mg syrup tangy orange,adviento forte 457mg jarabe tangy orange,cynoclav ds syrup,amoxyclav ds syrup,satclav ds syrup,amoclave  ds  syrup,semox cv forte syrup,cynoclav ds jarabe,amoxyclav ds jarabe,satclav ds jarabe,amoclave ds jarabe,semox cv forte forte jarabe
amlodac 5 tablet,amlodac 5 tableta,amset 5mg tablet,amlip 5 tablet,avacard 5mg tablet,amcard 5 tablet,amlong tablet,tableta de 5 mg de amset,amlip 5 tableta,avacard 5mg tableta,tableta amcard 5,tableta amlong
aztor 40 tablet,aztor 40 tableta,atorless 40mg tablet,atchol 40 tablet,lipikind 40 tablet,atorsave 40 tablet,atorfit 40 tablet,tableta de 40 mg de atorles,atchol 40 tableta,tableta lipikind 40,atorsave 40 tableta,atorfit 40 tableta
ascoril plus expectorant,ascoril mas expectorant,megaril expectorant,pulmo rest s expectorant,respidac tbg expectorant,pedicute-a expectorant,sudin-ex expectorant,megaril expectorant,expectorant de pulmo reposo,expectorante de tbg respidac,pedicito-un expectorant,expectorante de sudin-ex
amlip at tablet,amlip en la tableta,biopress am tablet,lupidip-a tablet,amlovas-at tablet,amdepin-at tablet,check at tablet,biopress am tableta,lupidip-una tableta,amlovas-at tableta,amdepin-at tableta,consulta en la tableta
asthakind-p drops,asthakind-p gotas,afrodyl oral drops,meddryl oral drops,vizcof-ax oral drops,amrox gt oral drops,posthma-x oral drops,gotas orales de afrodyl,gotas orales de meddryl,vizcof-ax oral gotas,gotas orales de amrox gt,catinas orales de postha-x
allegra nasal spray,allegra nasal spray,isomet-f nasal spray,sinospray-ft nasal spray,spiroflut nasal spray,spiroflut nasal spray,ryno nasal spray,isomet-f nasal spray,spray nasal sinspray-ft,espiroflut nasal spray,espiroflut nasal spray,spray nasal
aldosmin 1000mg tablet,aldosmin 1000mg tableta,samflav 900mg/100mg tablet,daflon 1000mg tablet,daflon 1000mg tablet,dezoflav tablet,,samflav 900mg/100mg tableta,daflon 1000mg tableta,daflon 1000mg tableta,tableta dezoflav,
andre i-kul eye drop,andre i-kul ojo caida,eyce eye drop,kono-cp eye drop,recool eye drop,cooleye eye drop,relax plus eye drop,eyce eye drop,gota de ojos kono-cp,recoler,cooleye eje,relajarse mas gotas para los ojos
antiflu 75mg capsule,capsula de 75 mg,oselet 75mg capsule,mcosvir 75mg capsule,starflu 75mg capsule,osiflu 75 capsule,oselow 75 capsule,capsula de 75 mg,capsula mcosvir 75mg,capsula de 75 mg de starflu,capsula de osiflu 75,capsula de oselow 75
alerfix total tablet sr,alerfix total tablet sr,trikast tablet sr,levotac-max tablet sr,monexia al 75mg/5mg/10mg tablet sr,monticope-a tablet sr,albicet am plus 75mg/5mg/10mg tablet sr,tableta trikast sr,levotac-max tableta sr,monexia al 75mg/5mg/10mg tablet sr,monticope-a tableta sr,albicet am mas 75mg/5mg/10mg tableta sr
alex-l cough syrup mango,alex-l tos jarabe de mango,zerotuss oral suspension,kofdip oral suspension mango,coff-tuss oral suspension mango,zerotuss oral suspension sugar free,lecofil lc oral suspension delicious mango,suspension oral zerotuss,kofdip mango de suspension oral,mango de suspension oral de coff-compats,cerotuss suspension oral azucar sin,lecofil lc suspension oral delicious mango
aquaviron injection 1ml,inyeccion de aquaviron 1 ml,,,,,,,,,,
alkof dx syrup,jarabe alkof dx,terlin dm syrup,leerex-dx syrup,cofrex-dx syrup,el tuss syrup,riacof kid syrup,jarabe de terlin dm,jarabe leerex-dx,jarabe de cofrex-dx,jarabe de el tuss,jarabe para ninos riof
atm 500 tablet,atm 500 tableta,zithrocare 500mg tablet,azax 500 tablet,zady 500 tablet,trulimax 500mg tablet,azifast 500 tablet,zithrocare 500mg tableta,azax 500 tableta,zady 500 tableta,tableta trulimax 500mg,azifast 500 tableta
assurans tablet,tableta de assurans,sildaflow 20mg tablet,pulmoday 20mg tablet,pah 20 tablet,esylnafil 20mg tablet,penegra pah tablet,sildaflow 20mg tableta,tableta pulmoday 20mg,pah 20 tableta,esylnafil 20mg tableta,penegra pah tableta
actrapid hm 100iu/ml penfill,actrapid hm 100iu/ml penfill,wosulin-r dispopen,lupisulin r 100iu/ml cartridge,insuman rapid 100iu/ml solution for injection,actrapid 100iu/ml solution for injection,huminsulin r 100iu cartridge,wosulin-r dispropopa,lupisulin r 100iu/ml cartucho,solucion insuman rapid de 100iu/ml para inyeccion,actrapid 100iu/ml solucion para inyeccion,cartucho de huminsulina r 100iu
aten 50 tablet,aten 50 tableta,ziblok 50 tablet,ozoten 50mg tablet,hipres 50 tablet,obeta 50mg tablet,anol 50mg tablet,ziblok 50 tableta,ozoten 50mg tableta,hipres 50 tableta,obeta 50mg tableta,tableta anol 50mg
azmarda 100mg tablet,azmarda 100mg tableta,sacutan 100 tablet,sacurise 100 tablet,arney 100 tablet,arnicor 100 tablet,sacumada 100 tablet,sacutan 100 tableta,sacurise 100 tableta,tableta arney 100,arnicor 100 tableta,sacumada 100 tableta
asthalin ax syrup,jarabe de axal de asthalin,solvin ls syrup,ambrodil-lx syrup,zerotuss xp syrup,capex ls syrup,broxum ls syrup,solvin ls jarabe,jarabe de ambrodil-lx,jarabe de zerotuss xp,jarabe de capex ls,broxum ls jarabe
amlovas-at tablet,amlovas-at tableta,biopress am tablet,lupidip-a tablet,amlip at tablet,amdepin-at tablet,check at tablet,biopress am tableta,lupidip-una tableta,amlip en la tableta,amdepin-at tableta,consulta en la tableta
advent 228.5mg dry syrup,adviento 228.5mg jarabe seco,sarimox-cv dry syrup,august dry syrup,oximox xl dry syrup,augwin dry syrup,lymonk cv dry syrup,jarabe seco sarimox-cv seco,jarabe seco de agosto,oximox xl jarabe seco,jarabe seco de augwin,lymonk cv jarabe seco
acivir 800 dt tablet,tableta acivir 800 dt,davaindia acyclovir 800mg tablet dt,ospivir tablet dt,herpesafe 800mg tablet dt,clovirax 800mg tablet dt,avir 800mg tablet dt,davaindia acyclovir 800mg tableta dt,tableta ospivir dt,herpesafe 800mg tableta dt,clovirax 800mg tableta dt,avir 800mg tableta dt
alfusin tablet pr,tableta alfusin pr,davaindia alfuzosin 10mg tablet pr,alfucal 10mg tablet pr,alfugress tablet pr,emzosin tablet pr,zyalfa tablet pr,davaindia alfuzosin 10mg tableta pr,alfucal 10 mg de tableta pr,tableta de alfuress pr,pableta de emzosin pr,tableta zyalfa pr
aziwok 500 tablet,aziwok 500 tableta,zithrocare 500mg tablet,azax 500 tablet,zady 500 tablet,cazithro 500mg tablet,trulimax 500mg tablet,zithrocare 500mg tableta,azax 500 tableta,zady 500 tableta,cazithro 500mg tableta,tableta trulimax 500mg
azithral 100 liquid,azitral 100 liquido,az3 100 liquid,,,,,az3 100 liquido,,,,
azee 100mg dry syrup peppermint,azee 100mg jarabe seco peppermint,azicor 100mg/5ml suspension,corzi 100mg/5ml suspension,azitras 100mg/5ml suspension,zithrolect 100mg/5ml suspension,aziagio 100mg/5ml suspension,azicor 100 mg/5 ml de suspension,corzi 100mg/5 ml de suspension,azitras 100 mg/5 ml de suspension,suspension zithrolect de 100 mg/5 ml,aziagio 100mg/5 ml de suspension
ace-proxyvon cr tablet,tableta as-proxyvon cr,,,,,,,,,,
aprezo 30mg tablet,aprezo 30mg tableta,apremist 30mg tablet,aplex 30mg tablet,aprotyl 30mg tablet,mprila tablet,pdlast tablet,tableta de 30 mg de apremista,aplex 30mg tableta,tableta de abril 30mg,tableta mprila,tableta pdlast
apidra 100iu cartridge,cartucho apidra 100iu,apidra 100iu/ml solution for injection,,,,,apidra 100iu/ml solucion para inyeccion,,,,
amlosafe 3d tablet,tableta 3d amlosafe,telmiride amh tablet,telmikaa amh tablet,amodep-tmh tablet,telmikind-amh tablet,telvas 3d tablet,telmiride amh tableta,telmikaa amh tableta,tableta amodep-tmh,telmikind-amh tableta,telvas 3d tableta
andial 2mg tablet,andial 2mg tableta,tropamide 2mg tablet,lopramide 2mg tablet,lopidus tablet,lopipen 2mg tablet,rokamide 2mg tablet,tropamide 2mg tableta,tableta de lopramida 2mg,tableta lopidus,tableta de 2 mg de lopipen,tableta rokamide 2mg
acenext p 100mg/325mg tablet,acenext p 100mg/325mg tableta,dolostat pc 100 mg/325 mg tablet,acimol 100 mg/325 mg tablet,topnac p tablet,arflur-p tablet,ark-ap tablet,dolostat pc 100 mg/325 mg tableta,acimol 100 mg/325 mg de tableta,topnac p tableta,tableta arflu-p,tableta arca
acnesol a nano gel,acnesol un nano gel,alight plus gel 15gm for acne treatment,nayzit gel,cutiwel gel,nioclean ad gel,acnicin gel,alight plus gel 15gm para el tratamiento del acne,gel nayzit,gel cutiwel,gel de anuncio de nioclean,gel de acnicina
asomex 2.5 tablet,tableta asomex 2.5,s-amcard 2.5 tablet,amlocard-s 2.5 tablet,big dvr 2.5mg tablet,amlovas s 2.5mg tablet,s-amleod 2.5 tablet,s-amcard 2.5 tableta,amlocard-s 2.5 tableta,big dvr 2.5mg tableta,tableta de 2.5mg de amlovas,s-amleod 2.5 tableta
angiplat 2.5 capsule tr,angiplat 2.5 capsula tr,angistat 2.5 capsule tr,vasovin - xl 2.5 capsule,angispan - tr 2.5mg capsule,,,angistat 2.5 capsula tr,vasovin - xl 2.5 capsula,angispan - tr 2.5mg capsula,,
advent 625 tablet,adviento 625 tableta,penciclav 500 mg/125 mg tablet,moxikind-cv 625 tablet,moxiforce-cv 625 tablet,fightox 625 tablet,novamox cv 625mg tablet,penciclav 500 mg/125 mg de tableta,moxikind-cv 625 tableta,moxiforce-cv 625 tableta,pableta fultox 625,novamox cv 625mg tableta
axogurd-sr tablet,tableta axogururd-sr,mahagaba-m od tablet sr,nervijen-p sr tablet,axinerve-p tablet sr,gabasafe plus  sr 75 tablet,revlin m tablet sr,mahagaba-m od tablet sr,nervijen-p sr tablet,axinerve-p tableta sr,gabasafe plus sr 75 tableta,revlin m tableta sr
azulix 2 mf tablet pr,azulix 2 mf tableta pr,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,geminor m 2 tablet pr,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr,geminor m 2 tableta pr
amaryl mv 2mg tablet sr,amaryl mv 2mg tablet sr,voglimet-gm tablet sr,starvog gm 2 tablet sr,metsmall gv 2 tablet sr,voglibite-gm 2 tablet sr,glyciphage-vg2 tablet sr,tableta voglimet-gm sr,starvog gm 2 tableta sr,metsmall gv 2 tablet sr,voglibite-gm 2 tableta sr,gliciphage-vg2 tableta sr
azulix 1 mf tablet pr,azulix 1 mf tableta pr,glimestar-m 1 tablet pr,metride 1 tablet pr,diapride m1 tablet pr,glycomet-gp 1 tablet pr,geminor m 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tableta pr,diapride m1 tableta pr,glycompet-gp 1 tableta pr,geminor m 1 tableta pr
aten 25 tablet,aten 25 tableta,ziblok 25 tablet,stanol 25mg tablet,lonol 25mg tablet,temin 25mg tablet,hipres 25 tablet,ziblok 25 tableta,tableta stanol 25mg,tableta lonol 25mg,temin 25 mg de tableta,hipres 25 tableta
azibact 500 tablet,azibact 500 tableta,zithrocare 500mg tablet,azax 500 tablet,zady 500 tablet,cazithro 500mg tablet,trulimax 500mg tablet,zithrocare 500mg tableta,azax 500 tableta,zady 500 tableta,cazithro 500mg tableta,tableta trulimax 500mg
amlopres tl tablet,amlopres tl tablet,newtel-am tablet,telmikind-am tablet,tytan-am tablet,telvas-am tablet,telmital-a tablet,tableta de newtel-am,telmikind-am tableta,tytan-am tableta,telvas-am tableta,telmital-una tableta
ambrolite syrup,jarabe de ambrolito,ambril syrup,respolite syrup,ambrolene syrup,revibrox plus 30mg/5ml syrup,cofnil am 30mg syrup,jarabe de ambril,jarabe de respolita,jarabe de ambroleno,revibrox mas 30 mg/5 ml de jarabe,cofnil am 30mg jarabe
actapro tablet,tableta de actapro,acosat 100mg tablet,dycotiam tablet,tocamide tablet,acogut tablet,acotrust  tablet,acosat 100mg tableta,tableta dycotiam,tableta de tocamida,tableta de acogut,tableta de acotrustes
aztor 20 tablet,aztor 20 tableta,atchol 20 tablet,lipikind 20 tablet,atorace 20 tablet,zivast 20 tablet,lipvas 20 tablet,tableta atchol 20,tableta lipikind 20,atorace 20 tableta,zivast 20 tableta,lipvas 20 tableta
alkof syrup,jarabe de alkof,nanokof syrup,chupp ls syrup,lecof junior syrup,agikuff syrup,libitus plus syrup,nanokof jarabe,jarabe de chupp ls,jarabe de jarabe jovenes,jarabe de agikuff,libitus mas jarabe
atorfit cv 10 capsule,atorfit cv 10 capsula,lipikind cv 10mg/75mg capsule,atchol cv capsule,astin cv 10 capsule,avas cv 10 capsule,lipitab cv 10mg/75mg capsule,lipikind cv 10mg/75mg capsula,capsula cv atchol,astin cv 10 capsula,avas cv 10 capsula,lipitab cv 10mg/75mg capsula
acnesol gel,gel de acnesol,acneclin gel,clinof gel,clincitop gel,aclind gel,clindamycin phosphate gel,gel de acneclin,gel clinof,gel de clincop,gel de aclind,gel de clindamicina fosfato
amtas 5 tablet,amtas 5 tableta,amset 5mg tablet,amlip 5 tablet,avacard 5mg tablet,amcard 5 tablet,amlong tablet,tableta de 5 mg de amset,amlip 5 tableta,avacard 5mg tableta,tableta amcard 5,tableta amlong
avil 50mg tablet,tableta avil 50mg,eralet 50mg tablet,,,,,tableta eralet 50mg,,,,
arip mt 5 tablet,arip mt 5 tableta,aritab 5mg tablet,arip 5mg tablet,aripiren 5mg tablet,ripramat 5 tablet,nulet 5 tablet,tableta aritab 5mg,tableta arip 5mg,tableta aripiren 5mg,ripramat 5 tableta,nulet 5 tableta
alivher tablet,alivher tableta,silagra 25 tablet,optithik 25mg tablet,shefill tablet,ethic 25mg tablet,endowal-s tablet,silagra 25 tableta,optithik 25mg tableta,tableta shefill,etica 25 mg de tableta,tableta
amrox-ls syrup,jarabe de amrox-ls,acticuf expectorant,pulmorest ls expectorant,coriminic ls syrup,pulmorest ls expectorant sugar free,dilo-ls syrup,expectorante de acticuf,expectorant ls pulmorest,jarabe de ls coriminico,pulmorest ls expectorant azucar libre,jarabe de dedo-ls
allercet cold tablet,tableta allercet fria,okacet total 5 mg/10 mg/500 mg tablet,vinkold tablet,levorhine cold 5mg/10mg/500mg tablet,cezarest-d tablet,phenicold tablet,okacet total 5 mg/10 mg/500 mg de tableta,tableta vinkend,levorhine cold 5mg/10mg/500mg tableta,tableta cezarest-d,tableta fenicold
atorlip 10 tablet,atorlip 10 tableta,atorast 10mg tablet,zivast 10 tablet,storvas 10 tablet,tonact 10 tablet,caat 10 tablet,tableta atorast 10mg,zivast 10 tableta,storvas 10 tableta,tonact 10 tableta,caat 10 tableta
admenta 10 tablet,admma 10 tableta,mentra 10mg tablet,admitine 10mg tablet,memantal 10mg tablet,lemix 10mg tablet,menata 10 tablet,mentra 10mg tableta,admitir tableta 10 mg,memantal 10mg tableta,lemix 10mg tableta,menata 10 tableta
asthalin respirator solution,solucion del respirador de asthalin,derihaler 5mg solution,salbair resp 5mg solution,,,,solucion de 5 mg de derihaler,solucion de salbair resp 5mg,,,
add tears lubricant eye drop,agregar lagrimas lubricante gota de ojos,wat-r eye drop,just tears eye drop,takfresh eye drop,misty eye drop,relub eye drop,gota de ojo wat-r,solo lagrimas gota de ojos,takfresh eye good,gota de ojos brumoso,relub eye drop
almox 250 capsule,capsula de almox 250,amoxipen 250mg capsule,hipen a 250mg capsule,moxipal 250mg capsule,amoxil 250mg capsule,moxikem 250mg capsule,capsula de 250 mg de amoxipen,hipen una capsula de 250 mg,capsula de 250 mg de moxipal,capsula de 250 mg de amoxil,capsula de 250 mg de moxikem
aztor asp 75 capsule,aztor asp 75 capsula,liponorm-asp capsule,zivast asp 10 capsule,atchol-asp capsule,lipicure-as 75 capsule,atorlip-asp 10 capsule,capsula de liponorm-asp,zivast asp 10 capsula,capsula atchol-asp,lipicure-as 75 capsula,atorlip-asp 10 capsula
arbitel-trio 50 tablet er,arbitel-trio 50 tableta er,telmik-trio 50 tablet er,teldawn lnb 10mg/50mg/40mg tablet er,metolar trio 50 tablet er,cetanil-tm 50 tablet er,telma lnb 10mg/50mg/40mg tablet er,telmik-trio 50 tableta er,teldawn lnb 10mg/50mg/40mg tableta er,metolar trio 50 tableta er,cetanil-tm 50 tableta er,telma lnb 10mg/50mg/40mg tableta er
acivir 200 dt tablet,tableta acivir 200 dt,okavir 200mg tablet dt,acicet 200mg tablet dt,zoylex dt tablet,acloriv 200mg tablet dt,acipox 200mg tablet dt,okavir 200mg tableta dt,acicet 200mg tableta dt,tableta dt zoylex dt,acloriv 200mg tableta dt,acipox 200mg tableta dt
amrolstar cream,crema amrolstar,amrosys cream,amrfy xl 0.25% cream,amrosys cream,amrobest cream,amtris cream,crema amrosys,amrfy xl 0.25% crema,crema amrosys,crema amrobest,crema amtris
adalene nanogel gel,gel de nanogel adalene,alight plus gel 15gm for acne treatment,nayzit gel,cutiwel gel,nioclean ad gel,acnesol a nano gel,alight plus gel 15gm para el tratamiento del acne,gel nayzit,gel cutiwel,gel de anuncio de nioclean,acnesol un nano gel
apigat 2.5 tablet,apigat 2.5 tableta,cadiquis 2.5mg tablet,apixapil 2.5mg tablet,apiquis 2.5 tablet,prepixa 2.5 tablet,apixagress 2.5mg tablet,cadiquis 2.5mg tableta,apixapil 2.5mg tableta,apiquis 2.5 tableta,prepixa 2.5 tableta,apixagess 2.5mg tableta
amlopres 5 tablet,amlopres 5 tableta,amset 5mg tablet,amlip 5 tablet,avacard 5mg tablet,amcard 5 tablet,amlong tablet,tableta de 5 mg de amset,amlip 5 tableta,avacard 5mg tableta,tableta amcard 5,tableta amlong
acamprol tablet,tableta de acamprol,alcocel 333mg tablet,duacam 333mg tablet,acmacal 333mg tablet,sanprol 333mg tablet,acmanet 333mg tablet,alcocel 333mg tableta,tableta duacam 333mg,tableta acmacal 333mg,sanprol 333mg tableta,acmanet 333mg tableta
